metric_time,backlog_00_10_3_reload,t1_00_10_3_reload,t2_00_10_3_reload,s3uploadcpu,s3uploaddisk,s3uploadmemory,outage
7/24/18 7:55,4,,,0,21.71734152,19.23761045,0
7/24/18 8:00,4,,,1,21.72225463,19.23441059,0
7/24/18 8:05,4,,,1,21.72645141,19.2989157,0
7/24/18 8:10,,,,0,21.72774392,19.29581743,0
7/24/18 8:15,,,,0,21.72967491,19.29424289,0
7/24/18 8:20,,,,0,21.73085841,19.2431975,0
7/24/18 8:25,,,,0,21.73253245,19.24507679,0
7/24/18 8:30,,,,0,21.73362252,19.24929248,0
7/24/18 8:35,,,,1,21.73549901,19.24903852,0
7/24/18 8:40,,,,0,21.73690831,19.27245337,0
7/24/18 8:45,,,,0,21.73782709,19.2693043,0
7/24/18 8:50,,,,0,21.73901838,19.26793293,0
7/24/18 8:55,,,,1,21.74070021,19.26839005,0
7/24/18 9:00,,,,1,21.74395485,19.26762818,0
7/24/18 9:05,,,,0,21.74502156,19.26478386,0
7/24/18 9:10,,,,0,21.7455121,19.26879639,0
7/24/18 9:15,,,,0,21.74627515,19.26823768,0
7/24/18 9:20,,,,0,21.74699148,19.27270733,0
7/24/18 9:25,,,,1,21.74900033,19.26651077,0
7/24/18 9:30,,,,0,21.75021498,19.27057409,0
7/24/18 9:35,,,,0,21.75173329,19.27143754,0
7/24/18 9:40,,,,0,21.75332947,19.26981221,0
7/24/18 9:45,,,,0,21.75482443,19.28337353,0
7/24/18 9:50,,,,0,21.75662304,19.28855425,0
7/24/18 9:55,,,,0,21.75679434,19.28819871,0
7/24/18 10:00,,,,0,21.75843724,19.28438935,0
7/24/18 10:05,,,,0,21.75925479,19.28560835,0
7/24/18 10:10,,,,0,21.76057845,19.29165253,0
7/24/18 10:15,,,,0,21.76124806,19.28931612,0
7/24/18 10:20,,,,0,21.76138822,19.28896058,0
7/24/18 10:25,,,,0,21.76152837,19.29119541,0
7/24/18 10:30,,,,0,21.76167631,19.29261757,0
7/24/18 10:35,,,,0,21.76295325,19.28840188,0
7/24/18 10:40,,,,0,21.76328027,19.28626864,0
7/24/18 10:45,,,,0,21.76400439,19.28906217,0
7/24/18 10:50,,,,0,21.76415233,19.2918557,0
7/24/18 10:55,,,,0,21.76427691,19.28692893,0
7/24/18 11:00,,,,0,21.76475965,19.28921454,0
7/24/18 11:05,,,,0,21.76490759,19.29200807,0
7/24/18 11:10,,,,0,21.76504774,19.29068749,0
7/24/18 11:15,,,,0,21.76520347,19.28982404,0
7/24/18 11:20,,,,0,21.76533583,19.28936692,0
7/24/18 11:25,,,,0,21.76548377,19.29327786,0
7/24/18 11:30,,,,0,21.76562392,19.28814792,0
7/24/18 11:35,,,,0,21.76576408,19.28764001,0
7/24/18 11:40,,,,0,21.76589644,19.2835259,0
7/24/18 11:45,,,,0,21.76603659,19.29068749,0
7/24/18 11:50,,,,0,21.76619232,19.28794476,0
7/24/18 11:55,,,,0,21.7675627,19.29398894,0
7/24/18 12:00,,,,0,21.76782743,19.29307469,0
7/24/18 12:05,,,,0,21.76868391,19.28951929,0
7/24/18 12:10,,,,0,21.76911216,19.28814792,0
7/24/18 12:15,,,,0,21.76935353,19.28982404,0
7/24/18 12:20,,,,0,21.76947811,19.29043354,0
7/24/18 12:25,,,,0,21.7699375,19.28758922,0
7/24/18 12:30,,,,0,21.77006207,19.28794476,0
7/24/18 12:35,,,,0,21.7702178,19.28809713,0
7/24/18 12:40,,,,0,21.77035017,19.29038274,0
